// OPCODE     ,MNEMONIC,OPERANDS,"""FLAGS""",CYCLES,LENGTH
opcode[0x00].set(,"""BRK""",,"""B""",7,1
opcode[0x01].set(,"""ORA""","(ind,X)","""SZ""",6,2
opcode[0x05].set(,"""ORA""",zpg,"""SZ""",3,2
opcode[0x06].set(,"""ASL""",zpg,"""SZC""",5,2
opcode[0x08].set(,"""PHP""",,,3,1
opcode[0x09].set(,"""ORA""",#,"""SZ""",2,2
opcode[0x0a].set(,"""ASL""",A,"""SZC""",2,1
opcode[0x0d].set(,"""ORA""",abs,"""SZ""",4,3
opcode[0x0e].set(,"""ASL""",abs,"""SZC""",6,3
opcode[0x10].set(,"""BPL""",rel,,2,2
opcode[0x11].set(,"""ORA""","(ind),Y","""SZ""",5,2
opcode[0x15].set(,"""ORA""","zpg,X","""SZ""",4,2
opcode[0x16].set(,"""ASL""","zpg,X","""SZC""",6,2
opcode[0x18].set(,"""CLC""",,"""C""",2,1
opcode[0x19].set(,"""ORA""","abs,Y","""SZ""",4,3
opcode[0x1d].set(,"""ORA""","abs,X","""SZ""",4,3
opcode[0x1e].set(,"""ASL""","abs,X","""SZC""",7,3
opcode[0x20].set(,"""JSR""",abs,,6,3
opcode[0x21].set(,"""AND""","(ind,X)","""SZ""",6,2
opcode[0x24].set(,"""BIT""",zpg,"""NVZ""",3,2
opcode[0x25].set(,"""AND""",zpg,"""SZ""",3,2
opcode[0x26].set(,"""ROL""",zpg,"""SZC""",5,2
opcode[0x28].set(,"""PLP""",,,4,1
opcode[0x29].set(,"""AND""",#,"""SZ""",2,2
opcode[0x2a].set(,"""ROL""",A,"""SZC""",2,1
opcode[0x2c].set(,"""BIT""",abs,"""NVZ""",4,3
opcode[0x2d].set(,"""AND""",abs,"""SZ""",4,3
opcode[0x2e].set(,"""ROL""",abs,"""SZC""",6,3
opcode[0x30].set(,"""BMI""",rel,,2,2
opcode[0x31].set(,"""AND""","(ind),Y","""SZ""",5,2
opcode[0x35].set(,"""AND""","zpg,X","""SZ""",4,2
opcode[0x36].set(,"""ROL""","zpg,X","""SZC""",6,2
opcode[0x38].set(,"""SEC""",,"""C""",2,1
opcode[0x39].set(,"""AND""","abs,Y","""SZ""",4,3
opcode[0x3d].set(,"""AND""","abs,X","""SZ""",4,3
opcode[0x3e].set(,"""ROL""","abs,X","""SZC""",7,3
opcode[0x40].set(,"""RTI""",,"""SZCDVIB""",6,1
opcode[0x41].set(,"""EOR""","(ind,X)","""SZ""",6,2
opcode[0x45].set(,"""EOR""",zpg,"""SZ""",3,2
opcode[0x46].set(,"""LSR""",zpg,"""SZC""",5,2
opcode[0x48].set(,"""PHA""",,,3,1
opcode[0x49].set(,"""EOR""",#,"""SZ""",2,2
opcode[0x4a].set(,"""LSR""",A,"""SZC""",2,1
opcode[0x4c].set(,"""JMP""",abs,,3,3
opcode[0x4d].set(,"""EOR""",abs,"""SZ""",4,3
opcode[0x4e].set(,"""LSR""",abs,"""SZC""",6,3
opcode[0x50].set(,"""BVC""",rel,,2,2
opcode[0x51].set(,"""EOR""","(ind),Y","""SZ""",5,2
opcode[0x55].set(,"""EOR""","zpg,X","""SZ""",4,2
opcode[0x56].set(,"""LSR""","zpg,X","""SZC""",6,2
opcode[0x58].set(,"""CLI""",,"""I""",2,1
opcode[0x59].set(,"""EOR""","abs,Y","""SZ""",4,3
opcode[0x5d].set(,"""EOR""","abs,X","""SZ""",4,3
opcode[0x5e].set(,"""LSR""","abs,X","""SZC""",7,3
opcode[0x60].set(,"""RTS""",,,6,1
opcode[0x61].set(,"""ADC""","(ind,X)","""SVZC""",6,2
opcode[0x65].set(,"""ADC""",zpg,"""SVZC""",3,2
opcode[0x66].set(,"""ROR""",zpg,"""SZC""",5,2
opcode[0x68].set(,"""PLA""",,,4,1
opcode[0x69].set(,"""ADC""",#,"""SVZC""",2,2
opcode[0x6a].set(,"""ROR""",A,"""SZC""",2,1
opcode[0x6c].set(,"""JMP""",(ind),,5,3
opcode[0x6d].set(,"""ADC""",abs,"""SVZC""",4,3
opcode[0x6e].set(,"""ROR""",abs,"""SZC""",6,3
opcode[0x70].set(,"""BVS""",rel,,4,2
opcode[0x71].set(,"""ADC""","(ind),Y","""SVZC""",4,2
opcode[0x75].set(,"""ADC""","zpg,X","""SVZC""",4,2
opcode[0x76].set(,"""ROR""","zpg,X","""SZC""",6,2
opcode[0x78].set(,"""SEI""",,"""I""",2,1
opcode[0x79].set(,"""ADC""","abs,Y","""SVZC""",4,3
opcode[0x7d].set(,"""ADC""","abs,X","""SVZC""",4,3
opcode[0x7e].set(,"""ROR""","abs,X","""SZC""",7,3
opcode[0x81].set(,"""STA""","(ind,X)",,6,2
opcode[0x84].set(,"""STY""",zpg,,3,2
opcode[0x85].set(,"""STA""",zpg,,3,2
opcode[0x86].set(,"""STX""",zpg,,3,2
opcode[0x88].set(,"""DEY""",,"""SZ""",2,1
opcode[0x8a].set(,"""TXA""",,"""SZ""",2,1
opcode[0x8c].set(,"""STY""",abs,,4,3
opcode[0x8d].set(,"""STA""",abs,,4,3
opcode[0x8e].set(,"""STX""",abs,,4,3
opcode[0x90].set(,"""BCC""",rel,,2,2
opcode[0x91].set(,"""STA""","(ind),Y",,6,2
opcode[0x94].set(,"""STY""","zpg,X",,4,2
opcode[0x95].set(,"""STA""","zpg,X",,4,2
opcode[0x96].set(,"""STX""","zpg,Y",,4,2
opcode[0x98].set(,"""TYA""",,"""SZ""",2,1
opcode[0x99].set(,"""STA""","abs,Y",,5,3
opcode[0x9a].set(,"""TXS""",,,2,1
opcode[0x9d].set(,"""STA""","abs,X",,5,3
opcode[0xa0].set(,"""LDY""",#,"""SZ""",2,2
opcode[0xa1].set(,"""LDA""","(ind,X)","""SZ""",6,2
opcode[0xa2].set(,"""LDX""",#,"""SZ""",2,2
opcode[0xa4].set(,"""LDY""",zpg,"""SZ""",3,2
opcode[0xa5].set(,"""LDA""",zpg,"""SZ""",3,2
opcode[0xa6].set(,"""LDX""",zpg,"""SZ""",3,2
opcode[0xa8].set(,"""TAY""",,"""SZ""",2,1
opcode[0xa9].set(,"""LDA""",#,"""SZ""",2,2
opcode[0xaa].set(,"""TAX""",,"""SZ""",2,1
opcode[0xac].set(,"""LDY""",abs,"""SZ""",4,3
opcode[0xad].set(,"""LDA""",abs,"""SZ""",4,3
opcode[0xae].set(,"""LDX""",abs,"""SZ""",4,3
opcode[0xb0].set(,"""BCS""",rel,,2,2
opcode[0xb1].set(,"""LDA""","(ind),Y","""SZ""",5,2
opcode[0xb4].set(,"""LDY""","zpg,X","""SZ""",4,2
opcode[0xb5].set(,"""LDA""","zpg,X","""SZ""",4,2
opcode[0xb6].set(,"""LDX""","zpg,Y","""SZ""",4,2
opcode[0xb8].set(,"""CLV""",,"""V""",2,1
opcode[0xb9].set(,"""LDA""","abs,Y","""SZ""",4,3
opcode[0xba].set(,"""TSX""",,,2,1
opcode[0xbc].set(,"""LDY""","abs,X","""SZ""",4,3
opcode[0xbd].set(,"""LDA""","abs,X","""SZ""",4,3
opcode[0xbe].set(,"""LDX""","abs,Y","""SZ""",4,3
opcode[0xc0].set(,"""CPY""",#,"""SZC""",2,2
opcode[0xc1].set(,"""CMP""","(ind,X)","""SZC""",6,2
opcode[0xc4].set(,"""CPY""",zpg,"""SZC""",3,2
opcode[0xc5].set(,"""CMP""",zpg,"""SZC""",3,2
opcode[0xc6].set(,"""DEC""",zpg,"""SZ""",5,2
opcode[0xc8].set(,"""INY""",,,2,1
opcode[0xc9].set(,"""CMP""",#,"""SZC""",2,2
opcode[0xca].set(,"""DEX""",,"""SZ""",2,1
opcode[0xcc].set(,"""CPY""",abs,"""SZC""",4,3
opcode[0xcd].set(,"""CMP""",abs,"""SZC""",4,3
opcode[0xce].set(,"""DEC""",abs,"""SZ""",6,3
opcode[0xd0].set(,"""BNE""",rel,,2,2
opcode[0xd1].set(,"""CMP""","(ind),Y","""SZC""",5,2
opcode[0xd5].set(,"""CMP""","zpg,X","""SZC""",4,2
opcode[0xd6].set(,"""DEC""","zpg,X","""SZ""",6,2
opcode[0xd8].set(,"""CLD""",,"""D""",2,1
opcode[0xd9].set(,"""CMP""","abs,Y","""SZC""",4,3
opcode[0xdd].set(,"""CMP""","abs,X","""SZC""",4,3
opcode[0xde].set(,"""DEC""","abs,X","""SZ""",7,3
opcode[0xe0].set(,"""CPX""",#,"""SZC""",2,2
opcode[0xe1].set(,"""SBC""","(ind,X)","""SVZC""",6,2
opcode[0xe4].set(,"""CPX""",zpg,"""SZC""",3,2
opcode[0xe5].set(,"""SBC""",zpg,"""SVZC""",3,2
opcode[0xe6].set(,"""INC""",zpg,"""SZ""",5,2
opcode[0xe8].set(,"""INX""",,"""SZ""",2,1
opcode[0xe9].set(,"""SBC""",#,"""SVZC""",2,2
opcode[0xea].set(,"""NOP""",,,2,1
opcode[0xec].set(,"""CPX""",abs,"""SZC""",4,3
opcode[0xed].set(,"""SBC""",abs,"""SVZC""",4,3
opcode[0xee].set(,"""INC""",abs,"""SZ""",6,3
opcode[0xf0].set(,"""BEQ""",rel,,2,2
opcode[0xf1].set(,"""SBC""","(ind),Y","""SVZC""",5,2
opcode[0xf5].set(,"""SBC""","zpg,X","""SVZC""",4,2
opcode[0xf6].set(,"""INC""","zpg,X","""SZ""",6,2
opcode[0xf8].set(,"""SED""",,"""D""",2,1
opcode[0xf9].set(,"""SBC""","abs,Y","""SVZC""",4,3
opcode[0xfd].set(,"""SBC""","abs,X","""SVZC""",4,3
opcode[0xfe].set(,"""INC""","abs,X","""SZ""",7,3
